[s],MA1[],CH1[V],CH2[V]
-0.0009714,0.124383,,
-0.00097136,0.124911,,
-0.00097132,0.125943,,
-0.00097128,0.126128,,
-0.00097124,0.125631,,
-0.0009712,0.125695,,
-0.00097116,0.125943,,
-0.00097112,0.125815,,
-0.00097108,0.125695,,
-0.00097104,0.125943,,
-0.000971,0.126096,,
-0.00097096,0.126064,,
-0.00097092,0.126064,,
-0.00097088,0.126224,,
-0.00097084,0.12632000000000002,,
-0.0009708,0.126352,,
-0.00097076,0.126376,,
-0.00097072,0.12653599999999998,,
-0.00097068,0.12653599999999998,,
-0.00097064,0.12653599999999998,,
-0.0009706,0.1266,,
-0.00097056,0.126696,,
-0.00097052,0.12672,,
-0.00097048,0.12678399999999998,,
-0.00097044,0.126816,,
-0.0009704,0.126816,,
-0.00097036,0.126848,,
-0.00097032,0.126848,,
-0.00097028,0.12688,,
-0.00097024,0.126944,,
-0.0009702,0.126976,,
-0.00097016,0.12709600000000001,,
-0.00097012,0.127256,,
-0.00097008,0.127352,,
-0.00097004,0.127408,,
-0.00097,0.12753599999999998,,
-0.00096996,0.1276,,
-0.00096992,0.127664,,
-0.00096988,0.12768800000000002,,
-0.00096984,0.12778399999999998,,
-0.0009698,0.12778399999999998,,
-0.00096976,0.12788,,
-0.00096972,0.128032,,
-0.00096968,0.128032,,
-0.00096964,0.128128,,
-0.0009696,0.128192,,
-0.00096956,0.128192,,
-0.00096952,0.128288,,
-0.00096948,0.128224,,
-0.00096944,0.128344,,
-0.0009694,0.12844,,
-0.00096936,0.128601,,
-0.00096932,0.128633,,
-0.00096928,0.128633,,
-0.00096924,0.128753,,
-0.0009692,0.12881700000000001,,
-0.00096916,0.128849,,
-0.00096912,0.128913,,
-0.00096908,0.12903299999999998,,
-0.00096904,0.129097,,
-0.000969,0.12928900000000002,,
-0.00096896,0.129377,,
-0.00096892,0.129473,,
-0.00096888,0.129505,,
-0.00096884,0.129633,,
-0.0009688,0.129657,,
-0.00096876,0.129633,,
-0.00096872,0.129689,,
-0.00096868,0.129689,,
-0.00096864,0.129721,,
-0.0009686,0.129689,,
-0.00096856,0.129689,,
-0.00096852,0.12978499999999998,,
-0.00096848,0.129913,,
-0.00096844,0.129913,,
-0.0009684,0.130001,,
-0.00096836,0.13003299999999998,,
-0.00096832,0.130129,,
-0.00096828,0.130097,,
-0.00096824,0.130193,,
-0.0009682,0.130313,,
-0.00096816,0.130377,,
-0.00096812,0.130409,,
-0.00096808,0.13050499999999998,,
-0.00096804,0.130537,,
-0.000968,0.130625,,
-0.00096796,0.130657,,
-0.00096792,0.130721,,
-0.00096788,0.13078499999999998,,
-0.00096784,0.130753,,
-0.0009678,0.130881,,
